Strategy,Target FPS,Frames Extracted,Extraction Time (s),Time Coverage (%),Avg Frame Spacing (s),Est. Memory (MB),Efficiency (frames/s)
0.5 FPS,0.5,8,0.20427632331848145,93.33333333333333,2.0,7.03125,39.16263945835478
1.0 FPS,1.0,15,0.1986243724822998,93.33333333333333,1.0,13.18359375,75.51943305113127
2.0 FPS,2.0,30,0.20132064819335938,96.66666666666667,0.5,26.3671875,149.01601136901942
5.0 FPS,5.0,75,1.4039137363433838,98.66666666666667,0.20000000000000004,65.91796875,53.42208574391762
