Method,Type,Processing Time (s),Number of Segments,Mask Coverage,Speed (FPS)
CV_kmeans,Traditional CV,0.36315488815307617,6,0.9202346801757812,2.753645985837543
CV_watershed,Traditional CV,0.008997440338134766,3,0.9897270202636719,111.1427208649107
CV_grabcut,Traditional CV,0.55413818359375,2,0.07144546508789062,1.8046040312809781
DL_deeplabv3,Deep Learning,1.5765438079833984,2,0.006072998046875,0.6342988979666402
DL_fcn,Deep Learning,1.2035667896270752,2,0.061309814453125,0.8308637365358426
